实际销量,预测销量
103,111.637146
38,31.833029
101,83.17023
45,42.085556
113,83.45338
123,82.84489
121,94.33339
85,70.99409
74,74.18076
67,43.87734
125,83.10365
120,68.1974
104,78.04365
62,46.524376
74,74.30292
203,142.28375
73,74.370865
143,156.33691
62,87.382
90,88.00734
69,72.332756
26,36.786953
43,41.964813
86,80.965904
100,93.07275
64,81.93377
49,67.416145
79,89.11466
82,91.57036
41,46.12711
28,40.224518
